id,trial,trialord,blink,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8001,1,1,1,2.2997947,1,1,left,first,red,1,
8001,2,1,0,2.2997947,1,1,left,first,red,1,1
8001,3,2,1,2.2997947,1,1,left,first,red,1,0
8001,4,4,1,2.2997947,1,1,left,first,red,1,
8001,5,3,0,2.2997947,1,1,left,first,red,1,0
8001,6,4,3,2.2997947,1,1,left,first,red,1,1
8001,7,7,3,2.2997947,1,1,left,first,red,1,
8001,8,5,1,2.2997947,1,1,left,first,red,1,1
8001,9,6,2,2.2997947,1,1,left,first,red,1,0
8001,10,10,2,2.2997947,1,1,left,first,red,1,
8001,11,7,0,2.2997947,1,1,left,first,red,1,0
8001,12,8,1,2.2997947,1,1,left,first,red,1,1
8001,13,13,0,2.2997947,1,1,left,first,red,1,
8002,1,1,3,11.63039,0,1,left,first,red,2,
8002,2,1,1,11.63039,0,1,left,first,red,2,1
8002,3,2,0,11.63039,0,1,left,first,red,2,0
8002,4,4,3,11.63039,0,1,left,first,red,2,
8002,5,3,2,11.63039,0,1,left,first,red,2,0
8002,6,4,3,11.63039,0,1,left,first,red,2,1
8002,7,7,3,11.63039,0,1,left,first,red,2,
8002,8,5,2,11.63039,0,1,left,first,red,2,1
8002,9,6,1,11.63039,0,1,left,first,red,2,0
8002,10,10,2,11.63039,0,1,left,first,red,2,
8002,11,7,0,11.63039,0,1,left,first,red,2,0
8002,12,8,2,11.63039,0,1,left,first,red,2,1
8002,13,13,4,11.63039,0,1,left,first,red,2,
8003,1,1,2,8.8049278,0,1,left,second,blue,12,
8003,2,1,2,8.8049278,0,1,left,second,blue,12,0
8003,3,2,1,8.8049278,0,1,left,second,blue,12,1
8003,4,4,4,8.8049278,0,1,left,second,blue,12,
8003,5,3,2,8.8049278,0,1,left,second,blue,12,1
8003,6,4,2,8.8049278,0,1,left,second,blue,12,0
8003,7,7,3,8.8049278,0,1,left,second,blue,12,
8003,8,5,2,8.8049278,0,1,left,second,blue,12,0
8003,9,6,3,8.8049278,0,1,left,second,blue,12,1
8003,10,10,6,8.8049278,0,1,left,second,blue,12,
8003,11,7,2,8.8049278,0,1,left,second,blue,12,1
8003,12,8,4,8.8049278,0,1,left,second,blue,12,0
8003,13,13,3,8.8049278,0,1,left,second,blue,12,
8004,1,1,4,8.3778238,0,1,right,first,red,13,
8004,2,1,2,8.3778238,0,1,right,first,red,13,1
8004,3,2,2,8.3778238,0,1,right,first,red,13,0
8004,4,4,3,8.3778238,0,1,right,first,red,13,
8004,5,3,2,8.3778238,0,1,right,first,red,13,0
8004,6,4,2,8.3778238,0,1,right,first,red,13,1
8004,7,7,3,8.3778238,0,1,right,first,red,13,
8004,8,5,2,8.3778238,0,1,right,first,red,13,1
8004,9,6,3,8.3778238,0,1,right,first,red,13,0
8004,10,10,2,8.3778238,0,1,right,first,red,13,
8004,11,7,2,8.3778238,0,1,right,first,red,13,0
8004,12,8,2,8.3778238,0,1,right,first,red,13,1
8004,13,13,2,8.3778238,0,1,right,first,red,13,
8005,1,1,1,3.9425051,0,0,left,second,blue,11,
8005,2,1,0,3.9425051,0,0,left,second,blue,11,0
8005,3,2,1,3.9425051,0,0,left,second,blue,11,1
8005,4,4,0,3.9425051,0,0,left,second,blue,11,
8005,5,3,0,3.9425051,0,0,left,second,blue,11,1
8005,6,4,0,3.9425051,0,0,left,second,blue,11,0
8005,7,7,0,3.9425051,0,0,left,second,blue,11,
8005,8,5,0,3.9425051,0,0,left,second,blue,11,0
8005,9,6,0,3.9425051,0,0,left,second,blue,11,1
8005,10,10,1,3.9425051,0,0,left,second,blue,11,
8005,11,7,0,3.9425051,0,0,left,second,blue,11,1
8005,12,8,0,3.9425051,0,0,left,second,blue,11,0
8005,13,13,2,3.9425051,0,0,left,second,blue,11,
8006,1,1,1,8.016427,1,1,left,first,red,2,
8006,2,1,2,8.016427,1,1,left,first,red,2,1
8006,3,2,2,8.016427,1,1,left,first,red,2,0
8006,4,4,2,8.016427,1,1,left,first,red,2,
8006,5,3,2,8.016427,1,1,left,first,red,2,0
8006,6,4,2,8.016427,1,1,left,first,red,2,1
8006,7,7,6,8.016427,1,1,left,first,red,2,
8006,8,5,2,8.016427,1,1,left,first,red,2,1
8006,9,6,4,8.016427,1,1,left,first,red,2,0
8006,10,10,3,8.016427,1,1,left,first,red,2,
8006,11,7,4,8.016427,1,1,left,first,red,2,0
8006,12,8,1,8.016427,1,1,left,first,red,2,1
8006,13,13,6,8.016427,1,1,left,first,red,2,
8007,1,1,1,11.236139,1,1,right,second,red,16,
8007,2,1,0,11.236139,1,1,right,second,red,16,0
8007,3,2,1,11.236139,1,1,right,second,red,16,1
8007,4,4,0,11.236139,1,1,right,second,red,16,
8007,5,3,4,11.236139,1,1,right,second,red,16,1
8007,6,4,2,11.236139,1,1,right,second,red,16,0
8007,7,7,2,11.236139,1,1,right,second,red,16,
8007,8,5,3,11.236139,1,1,right,second,red,16,0
8007,9,6,0,11.236139,1,1,right,second,red,16,1
8007,10,10,0,11.236139,1,1,right,second,red,16,
8007,11,7,3,11.236139,1,1,right,second,red,16,1
8007,12,8,1,11.236139,1,1,right,second,red,16,0
8007,13,13,1,11.236139,1,1,right,second,red,16,
8008,1,1,1,10.480493,1,1,right,first,red,14,
8008,2,1,0,10.480493,1,1,right,first,red,14,1
8008,3,2,2,10.480493,1,1,right,first,red,14,0
8008,4,4,1,10.480493,1,1,right,first,red,14,
8008,5,3,2,10.480493,1,1,right,first,red,14,0
8008,6,4,1,10.480493,1,1,right,first,red,14,1
8008,7,7,0,10.480493,1,1,right,first,red,14,
8008,8,5,0,10.480493,1,1,right,first,red,14,1
8008,9,6,0,10.480493,1,1,right,first,red,14,0
8008,10,10,0,10.480493,1,1,right,first,red,14,
8008,11,7,0,10.480493,1,1,right,first,red,14,0
8008,12,8,0,10.480493,1,1,right,first,red,14,1
8008,13,13,0,10.480493,1,1,right,first,red,14,
8009,1,1,2,12.353183,1,1,left,second,blue,12,
8009,2,1,1,12.353183,1,1,left,second,blue,12,0
8009,3,2,1,12.353183,1,1,left,second,blue,12,1
8009,4,4,2,12.353183,1,1,left,second,blue,12,
8009,5,3,1,12.353183,1,1,left,second,blue,12,1
8009,6,4,2,12.353183,1,1,left,second,blue,12,0
8009,7,7,1,12.353183,1,1,left,second,blue,12,
