id,trial,trialord,look,lookdir,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8001,1,1,11693,l,2.2997947,1,1,left,first,red,1,
8001,1,1,448,r,2.2997947,1,1,left,first,red,1,
8001,2,1,13717,l,2.2997947,1,1,left,first,red,1,1
8001,2,1,0,r,2.2997947,1,1,left,first,red,1,1
8001,3,2,1015,l,2.2997947,1,1,left,first,red,1,0
8001,3,2,6096,r,2.2997947,1,1,left,first,red,1,0
8001,4,4,8613,l,2.2997947,1,1,left,first,red,1,
8001,4,4,576,r,2.2997947,1,1,left,first,red,1,
8001,5,3,919,l,2.2997947,1,1,left,first,red,1,0
8001,5,3,4128,r,2.2997947,1,1,left,first,red,1,0
8001,6,4,0,l,2.2997947,1,1,left,first,red,1,1
8001,6,4,928,r,2.2997947,1,1,left,first,red,1,1
8001,7,7,493,l,2.2997947,1,1,left,first,red,1,
8001,7,7,12288,r,2.2997947,1,1,left,first,red,1,
8001,8,5,13781,l,2.2997947,1,1,left,first,red,1,1
8001,8,5,0,r,2.2997947,1,1,left,first,red,1,1
8001,9,6,1255,l,2.2997947,1,1,left,first,red,1,0
8001,9,6,12256,r,2.2997947,1,1,left,first,red,1,0
8001,10,10,0,l,2.2997947,1,1,left,first,red,1,
8001,10,10,13349,r,2.2997947,1,1,left,first,red,1,
8001,11,7,0,l,2.2997947,1,1,left,first,red,1,0
8001,11,7,13517,r,2.2997947,1,1,left,first,red,1,0
8001,12,8,9877,l,2.2997947,1,1,left,first,red,1,1
8001,12,8,815,r,2.2997947,1,1,left,first,red,1,1
8001,13,13,4093,l,2.2997947,1,1,left,first,red,1,
8001,13,13,7968,r,2.2997947,1,1,left,first,red,1,
8002,1,1,3792,l,11.63039,0,1,left,first,red,2,
8002,1,1,4208,r,11.63039,0,1,left,first,red,2,
8002,2,1,7568,l,11.63039,0,1,left,first,red,2,1
8002,2,1,4400,r,11.63039,0,1,left,first,red,2,1
8002,3,2,10516,l,11.63039,0,1,left,first,red,2,0
8002,3,2,3264,r,11.63039,0,1,left,first,red,2,0
8002,4,4,4336,l,11.63039,0,1,left,first,red,2,
8002,4,4,5332,r,11.63039,0,1,left,first,red,2,
8002,5,3,9351,l,11.63039,0,1,left,first,red,2,0
8002,5,3,560,r,11.63039,0,1,left,first,red,2,0
8002,6,4,5824,l,11.63039,0,1,left,first,red,2,1
8002,6,4,2271,r,11.63039,0,1,left,first,red,2,1
8002,7,7,2624,l,11.63039,0,1,left,first,red,2,
8002,7,7,589,r,11.63039,0,1,left,first,red,2,
8002,8,5,4448,l,11.63039,0,1,left,first,red,2,1
8002,8,5,5744,r,11.63039,0,1,left,first,red,2,1
8002,9,6,3975,l,11.63039,0,1,left,first,red,2,0
8002,9,6,3888,r,11.63039,0,1,left,first,red,2,0
8002,10,10,4383,l,11.63039,0,1,left,first,red,2,
8002,10,10,6288,r,11.63039,0,1,left,first,red,2,
8002,11,7,12087,l,11.63039,0,1,left,first,red,2,0
8002,11,7,720,r,11.63039,0,1,left,first,red,2,0
8002,12,8,12336,l,11.63039,0,1,left,first,red,2,1
8002,12,8,1109,r,11.63039,0,1,left,first,red,2,1
8002,13,13,3357,l,11.63039,0,1,left,first,red,2,
8002,13,13,2400,r,11.63039,0,1,left,first,red,2,
8003,1,1,1632,l,8.8049278,0,1,left,second,blue,12,
8003,1,1,7816,r,8.8049278,0,1,left,second,blue,12,
8003,2,1,6016,l,8.8049278,0,1,left,second,blue,12,0
8003,2,1,5104,r,8.8049278,0,1,left,second,blue,12,0
8003,3,2,13080,l,8.8049278,0,1,left,second,blue,12,1
8003,3,2,828,r,8.8049278,0,1,left,second,blue,12,1
8003,4,4,3776,l,8.8049278,0,1,left,second,blue,12,
8003,4,4,5728,r,8.8049278,0,1,left,second,blue,12,
8003,5,3,8268,l,8.8049278,0,1,left,second,blue,12,1
8003,5,3,2160,r,8.8049278,0,1,left,second,blue,12,1
8003,6,4,3248,l,8.8049278,0,1,left,second,blue,12,0
8003,6,4,7536,r,8.8049278,0,1,left,second,blue,12,0
8003,7,7,4696,l,8.8049278,0,1,left,second,blue,12,
8003,7,7,6188,r,8.8049278,0,1,left,second,blue,12,
8003,8,5,8000,l,8.8049278,0,1,left,second,blue,12,0
8003,8,5,5540,r,8.8049278,0,1,left,second,blue,12,0
8003,9,6,9900,l,8.8049278,0,1,left,second,blue,12,1
8003,9,6,2848,r,8.8049278,0,1,left,second,blue,12,1
8003,10,10,1888,l,8.8049278,0,1,left,second,blue,12,
8003,10,10,6336,r,8.8049278,0,1,left,second,blue,12,
8003,11,7,8108,l,8.8049278,0,1,left,second,blue,12,1
8003,11,7,3552,r,8.8049278,0,1,left,second,blue,12,1
8003,12,8,6448,l,8.8049278,0,1,left,second,blue,12,0
8003,12,8,4800,r,8.8049278,0,1,left,second,blue,12,0
8003,13,13,4432,l,8.8049278,0,1,left,second,blue,12,
8003,13,13,6788,r,8.8049278,0,1,left,second,blue,12,
8004,1,1,3472,l,8.3778238,0,1,right,first,red,13,
8004,1,1,6536,r,8.3778238,0,1,right,first,red,13,
8004,2,1,6576,l,8.3778238,0,1,right,first,red,13,1
8004,2,1,6624,r,8.3778238,0,1,right,first,red,13,1
8004,3,2,6160,l,8.3778238,0,1,right,first,red,13,0
8004,3,2,3920,r,8.3778238,0,1,right,first,red,13,0
8004,4,4,1088,l,8.3778238,0,1,right,first,red,13,
8004,4,4,6096,r,8.3778238,0,1,right,first,red,13,
8004,5,3,7080,l,8.3778238,0,1,right,first,red,13,0
8004,5,3,5536,r,8.3778238,0,1,right,first,red,13,0
8004,6,4,3968,l,8.3778238,0,1,right,first,red,13,1
8004,6,4,4592,r,8.3778238,0,1,right,first,red,13,1
8004,7,7,2208,l,8.3778238,0,1,right,first,red,13,
8004,7,7,2616,r,8.3778238,0,1,right,first,red,13,
8004,8,5,4656,l,8.3778238,0,1,right,first,red,13,1
8004,8,5,5760,r,8.3778238,0,1,right,first,red,13,1
8004,9,6,7100,l,8.3778238,0,1,right,first,red,13,0
8004,9,6,3664,r,8.3778238,0,1,right,first,red,13,0
8004,10,10,1824,l,8.3778238,0,1,right,first,red,13,
8004,10,10,7936,r,8.3778238,0,1,right,first,red,13,
8004,11,7,1184,l,8.3778238,0,1,right,first,red,13,0
8004,11,7,11848,r,8.3778238,0,1,right,first,red,13,0
8004,12,8,4592,l,8.3778238,0,1,right,first,red,13,1
8004,12,8,4448,r,8.3778238,0,1,right,first,red,13,1
8004,13,13,880,l,8.3778238,0,1,right,first,red,13,
8004,13,13,5400,r,8.3778238,0,1,right,first,red,13,
8005,1,1,4614,l,3.9425051,0,0,left,second,blue,11,
8005,1,1,7200,r,3.9425051,0,0,left,second,blue,11,
8005,2,1,0,l,3.9425051,0,0,left,second,blue,11,0
8005,2,1,13582,r,3.9425051,0,0,left,second,blue,11,0
8005,3,2,6256,l,3.9425051,0,0,left,second,blue,11,1
8005,3,2,2086,r,3.9425051,0,0,left,second,blue,11,1
8005,4,4,2720,l,3.9425051,0,0,left,second,blue,11,
8005,4,4,5520,r,3.9425051,0,0,left,second,blue,11,
8005,5,3,10454,l,3.9425051,0,0,left,second,blue,11,1
8005,5,3,1232,r,3.9425051,0,0,left,second,blue,11,1
8005,6,4,0,l,3.9425051,0,0,left,second,blue,11,0
8005,6,4,11838,r,3.9425051,0,0,left,second,blue,11,0
8005,7,7,2518,l,3.9425051,0,0,left,second,blue,11,
8005,7,7,4368,r,3.9425051,0,0,left,second,blue,11,
8005,8,5,0,l,3.9425051,0,0,left,second,blue,11,0
8005,8,5,13422,r,3.9425051,0,0,left,second,blue,11,0
8005,9,6,5920,l,3.9425051,0,0,left,second,blue,11,1
8005,9,6,1296,r,3.9425051,0,0,left,second,blue,11,1
8005,10,10,1232,l,3.9425051,0,0,left,second,blue,11,
8005,10,10,4918,r,3.9425051,0,0,left,second,blue,11,
8005,11,7,608,l,3.9425051,0,0,left,second,blue,11,1
8005,11,7,6336,r,3.9425051,0,0,left,second,blue,11,1
8005,12,8,0,l,3.9425051,0,0,left,second,blue,11,0
8005,12,8,13694,r,3.9425051,0,0,left,second,blue,11,0
8005,13,13,1104,l,3.9425051,0,0,left,second,blue,11,
8005,13,13,7142,r,3.9425051,0,0,left,second,blue,11,
8006,1,1,7072,l,8.016427,1,1,left,first,red,2,
8006,1,1,3596,r,8.016427,1,1,left,first,red,2,
8006,2,1,7952,l,8.016427,1,1,left,first,red,2,1
8006,2,1,4880,r,8.016427,1,1,left,first,red,2,1
8006,3,2,4812,l,8.016427,1,1,left,first,red,2,0
8006,3,2,7456,r,8.016427,1,1,left,first,red,2,0
8006,4,4,4672,l,8.016427,1,1,left,first,red,2,
8006,4,4,4112,r,8.016427,1,1,left,first,red,2,
8006,5,3,2608,l,8.016427,1,1,left,first,red,2,0
8006,5,3,6776,r,8.016427,1,1,left,first,red,2,0
8006,6,4,8208,l,8.016427,1,1,left,first,red,2,1
8006,6,4,3808,r,8.016427,1,1,left,first,red,2,1
8006,7,7,5280,l,8.016427,1,1,left,first,red,2,
8006,7,7,6184,r,8.016427,1,1,left,first,red,2,
8006,8,5,8596,l,8.016427,1,1,left,first,red,2,1
8006,8,5,4096,r,8.016427,1,1,left,first,red,2,1
8006,9,6,1308,l,8.016427,1,1,left,first,red,2,0
8006,9,6,7704,r,8.016427,1,1,left,first,red,2,0
8006,10,10,2816,l,8.016427,1,1,left,first,red,2,
8006,10,10,8656,r,8.016427,1,1,left,first,red,2,
8006,11,7,1952,l,8.016427,1,1,left,first,red,2,0
8006,11,7,8184,r,8.016427,1,1,left,first,red,2,0
8006,12,8,12448,l,8.016427,1,1,left,first,red,2,1
8006,12,8,960,r,8.016427,1,1,left,first,red,2,1
8006,13,13,2384,l,8.016427,1,1,left,first,red,2,
8006,13,13,10168,r,8.016427,1,1,left,first,red,2,
8007,1,1,8960,l,11.236139,1,1,right,second,red,16,
8007,1,1,2435,r,11.236139,1,1,right,second,red,16,
8007,2,1,10544,l,11.236139,1,1,right,second,red,16,0
8007,2,1,2224,r,11.236139,1,1,right,second,red,16,0
8007,3,2,2928,l,11.236139,1,1,right,second,red,16,1
8007,3,2,5408,r,11.236139,1,1,right,second,red,16,1
8007,4,4,5808,l,11.236139,1,1,right,second,red,16,
8007,4,4,4272,r,11.236139,1,1,right,second,red,16,
8007,5,3,4864,l,11.236139,1,1,right,second,red,16,1
8007,5,3,5104,r,11.236139,1,1,right,second,red,16,1
8007,6,4,8992,l,11.236139,1,1,right,second,red,16,0
8007,6,4,1504,r,11.236139,1,1,right,second,red,16,0
8007,7,7,4352,l,11.236139,1,1,right,second,red,16,
8007,7,7,1952,r,11.236139,1,1,right,second,red,16,
8007,8,5,9168,l,11.236139,1,1,right,second,red,16,0
8007,8,5,1977,r,11.236139,1,1,right,second,red,16,0
8007,9,6,531,l,11.236139,1,1,right,second,red,16,1
8007,9,6,12289,r,11.236139,1,1,right,second,red,16,1
8007,10,10,2832,l,11.236139,1,1,right,second,red,16,
8007,10,10,1344,r,11.236139,1,1,right,second,red,16,
8007,11,7,592,l,11.236139,1,1,right,second,red,16,1
8007,11,7,1504,r,11.236139,1,1,right,second,red,16,1
8007,12,8,4939,l,11.236139,1,1,right,second,red,16,0
8007,12,8,5984,r,11.236139,1,1,right,second,red,16,0
8007,13,13,4032,l,11.236139,1,1,right,second,red,16,
8007,13,13,304,r,11.236139,1,1,right,second,red,16,
8008,1,1,4539,l,10.480493,1,1,right,first,red,14,
8008,1,1,7504,r,10.480493,1,1,right,first,red,14,
8008,2,1,1725,l,10.480493,1,1,right,first,red,14,1
8008,2,1,11896,r,10.480493,1,1,right,first,red,14,1
8008,3,2,6781,l,10.480493,1,1,right,first,red,14,0
8008,3,2,3531,r,10.480493,1,1,right,first,red,14,0
8008,4,4,6232,l,10.480493,1,1,right,first,red,14,
8008,4,4,7588,r,10.480493,1,1,right,first,red,14,
8008,5,3,5170,l,10.480493,1,1,right,first,red,14,0
8008,5,3,1327,r,10.480493,1,1,right,first,red,14,0
8008,6,4,1423,l,10.480493,1,1,right,first,red,14,1
8008,6,4,8483,r,10.480493,1,1,right,first,red,14,1
8009,1,1,6544,l,12.353183,1,1,left,second,blue,12,
8009,1,1,5348,r,12.353183,1,1,left,second,blue,12,
8009,2,1,7083,l,12.353183,1,1,left,second,blue,12,0
8009,2,1,3334,r,12.353183,1,1,left,second,blue,12,0
8009,3,2,10529,l,12.353183,1,1,left,second,blue,12,1
8009,3,2,3565,r,12.353183,1,1,left,second,blue,12,1
8009,4,4,7178,l,12.353183,1,1,left,second,blue,12,
8009,4,4,5953,r,12.353183,1,1,left,second,blue,12,
8009,5,3,9709,l,12.353183,1,1,left,second,blue,12,1
8009,5,3,3710,r,12.353183,1,1,left,second,blue,12,1
8009,6,4,4344,l,12.353183,1,1,left,second,blue,12,0
8009,6,4,9744,r,12.353183,1,1,left,second,blue,12,0
8009,7,7,6668,l,12.353183,1,1,left,second,blue,12,
8009,7,7,5531,r,12.353183,1,1,left,second,blue,12,
8009,8,5,4011,l,12.353183,1,1,left,second,blue,12,0
8009,8,5,8722,r,12.353183,1,1,left,second,blue,12,0
8009,9,6,11361,l,12.353183,1,1,left,second,blue,12,1
8009,9,6,2733,r,12.353183,1,1,left,second,blue,12,1
8009,10,10,8290,l,12.353183,1,1,left,second,blue,12,
