id,choice1,choice2,choice3,choice4,chooselul
8001,1,0,1,0,2
8009,1,1,1,1,4
8020,1,0,1,1,3
8004,1,1,1,1,4
8012,1,1,1,1,4
8003,1,1,1,1,4
8031,1,1,1,1,4
8035,0,0,0,1,1
8034,1,1,1,1,4
8015,1,1,1,1,4
8040,1,1,1,1,4
8033,1,1,1,1,4
8041,1,1,1,1,4
8025,1,1,1,1,4
8042,1,1,1,1,4
8006,1,1,1,1,4
8043,1,1,0,1,3
8032,1,1,1,1,4
8044,1,1,1,0,3
8045,1,1,1,1,4
8046,1,1,1,1,4
8047,1,1,0,1,3
8048,1,1,0,1,3
8050,1,1,1,1,4
8030,1,1,1,0,3
8051,1,1,0,1,3
8013,1,1,1,1,4
8053,1,1,1,1,4
8054,1,1,1,1,4
8057,1,1,1,1,4
8058,1,1,0,1,3
8021,1,1,1,1,4
8010,1,1,1,1,4
8059,1,1,1,1,4
8060,1,1,0,1,3
8061,1,1,1,1,4
8062,1,1,0,1,3
8037,1,1,1,1,4
8063,1,1,1,1,4
8065,1,1,1,1,4
8066,1,1,1,1,4
8011,0,1,1,1,3
8067,1,1,0,1,3
8068,1,0,0,1,2
8069,0,1,1,1,3
8070,1,0,1,1,3
8071,1,1,1,0,3
8072,1,1,1,1,4
8073,1,1,1,1,4
8074,1,0,0,1,2
8075,1,1,0,1,3
8076,1,1,1,1,4
8077,1,1,1,1,4
8078,1,1,1,1,4
8079,1,1,1,1,4
8080,1,1,1,1,4
8081,1,1,1,1,4
8082,1,0,1,1,3
8083,1,1,1,1,4
8084,1,1,1,1,4
8085,1,1,1,1,4
8086,1,1,1,1,4
8087,1,1,1,1,4
8088,1,1,1,1,4
8089,1,1,0,1,3
8090,1,1,1,1,4
8091,1,0,0,1,2
8092,1,1,1,1,4
8093,1,0,0,1,2
8094,1,1,1,1,4
8028,1,1,1,1,4
8095,1,1,1,1,4
8096,1,1,1,1,4
8097,1,0,1,1,3
8098,1,1,0,1,3
8099,1,1,1,1,4
8100,1,1,0,1,3
8101,1,1,0,1,3
8102,1,0,1,1,3
8104,1,1,1,1,4
8105,1,1,1,1,4
8108,1,1,1,1,4
8109,1,1,1,1,4
8111,1,1,1,1,4
8112,0,1,1,0,2
8113,1,1,0,0,2
8114,1,0,1,1,3
8115,1,0,0,1,2
8116,1,0,0,1,2
8117,1,1,0,1,3
8119,1,1,1,1,4
8118,1,1,1,1,4
8120,1,1,1,1,4
8121,1,1,1,1,4
8122,1,1,0,1,3
8123,1,1,1,0,3
8124,1,1,1,1,4
8125,1,1,1,1,4
8126,1,0,1,1,3
8127,1,1,1,0,3
8128,1,1,1,1,4
8129,1,0,1,0,2
8130,1,1,1,0,3
8131,1,1,1,1,4
8132,1,1,1,1,4
8134,1,1,0,1,3
8135,1,1,1,1,4
8137,1,1,0,1,3
8138,1,1,1,1,4
8139,1,0,0,1,2
8140,1,1,0,1,3
8141,1,1,0,1,3
8142,0,1,0,1,2
8143,1,1,1,1,4
8144,1,1,1,0,3
8145,1,1,0,1,3
8147,1,1,0,1,3
8148,1,1,1,1,4
8149,1,1,1,0,3
8150,1,1,1,1,4
8151,1,1,1,1,4
8152,1,1,1,0,3
8153,1,1,1,1,4
8154,1,0,0,1,2
8155,1,1,1,1,4
8156,1,1,1,1,4
8157,1,0,1,1,3
8158,1,1,1,1,4
8159,1,1,1,1,4
8160,1,0,1,1,3
8161,1,1,0,1,3
8162,1,1,1,1,4
8163,1,0,1,1,3
8164,1,1,0,1,3
8165,1,1,0,1,3
